Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","ANT_GENERAL","ANT_2400_MEANDER_MIRR",3.500000,57.600000,180.000000,top
"C1","10u","CAP_0603",4.500000,17.000000,180.000000,top
"C2","0.1u","CAP_0603",15.000000,29.162000,90.000000,top
"C3","0.1u","CAP_0603",3.600000,29.100000,90.000000,top
"C4","0.1u","CAP_0603",15.000000,21.000000,270.000000,top
"C5","10n","CAP_0603",15.000000,32.300000,90.000000,top
"C6","1u","CAP_0603",13.400000,32.300000,90.000000,top
"C7","10u","CAP_0603",5.000000,4.900000,270.000000,top
"C8","0.1u","CAP_0603",3.400000,4.900000,270.000000,top
"C9","10u","CAP_0603",15.000000,18.000000,90.000000,top
"C10","0.1u","CAP_0603",4.500000,15.400000,180.000000,top
"C11","0.1u","CAP_0603",14.200000,3.200000,180.000000,top
"C12","18pF","CAP_0603",14.100000,40.300000,180.000000,top
"C13","1u","CAP_0603",1.900000,40.800000,180.000000,top
"C14","18pF","CAP_0603",14.100000,46.500000,0.000000,top
"C15","220pF","CAP_0603",1.900000,45.600000,180.000000,top
"C16","0.1u","CAP_0603",9.100000,38.500000,90.000000,top
"C17","0.1u","CAP_0603",3.000000,48.000000,180.000000,top
"C18","0.1u","CAP_0603",11.000000,48.000000,90.000000,top
"C19","220pF","CAP_0603",10.900000,43.200000,270.000000,top
"C20","0.1u","CAP_0603",7.500000,38.500000,270.000000,top
"C21","220pF","CAP_0603",1.900000,42.400000,180.000000,top
"C22","100pF","CAP_0402",8.600000,47.900000,90.000000,top
"C23","100pF","CAP_0402",6.200000,47.900000,90.000000,top
"C24","1pF","CAP_0402",9.100000,49.600000,180.000000,top
"C25","1pF","CAP_0402",6.200000,51.300000,90.000000,top
"C26","1.8pF","CAP_0402",4.500000,51.800000,0.000000,top
"C27","1.5pF","CAP_0402",9.100000,53.000000,180.000000,top
"D1","BAT60","SOD323",7.600000,18.500000,0.000000,top
"DA1","NCP1400","SOT23-5",11.900000,17.300000,90.000000,top
"DD1","STM32F030C8T6","LQFP48",9.400000,25.200000,225.000000,top
"L1","22uH","IND_1210_LQH32C",8.000000,15.600000,270.000000,top
"L2","1.2nH","IND_0402",5.700000,49.600000,180.000000,top
"L3","1.2nH","IND_0402",8.600000,51.300000,270.000000,top
"L4","1.2nH","IND_0402",7.400000,52.500000,270.000000,top
"Logo1","Logo","Ostranna_8x8",4.400000,59.650000,0.000000,top
"Q1","LED_5050","LED_5050",8.000000,33.800000,0.000000,top
"Q2","TEMT7000X01","RES_0805",13.800000,1.400000,180.000000,top
"R1","100R","RES_0603",2.712000,35.424000,0.000000,top
"R2","100R","RES_0603",2.712000,33.824000,0.000000,top
"R3","100R","RES_0603",2.712000,32.224000,0.000000,top
"R4","10k","RES_0603",1.800000,4.900000,270.000000,top
"R5","10k","RES_0603",14.200000,4.800000,180.000000,top
"R6","56k","RES_0603",15.000000,36.500000,90.000000,top
"R7","56k","RES_0603",1.900000,44.000000,180.000000,top
"SW2","Btn4x4","BTN_4x4_SMD",12.800000,10.700000,90.000000,top
"SW3","Btn4x4","BTN_4x4_SMD",3.200000,10.700000,270.000000,top
"TP1","TESTPOINT","TESTPOINT_1MM",12.500000,38.000000,90.000000,top
"XTAL1","27MHz","03225C4",14.100000,43.400000,90.000000,top
